Team,Opponent,Team_Score,Opponent_Score
RAYO VALLECANO,MALLORCA,1.0,2.0
ESPANYOL,RACING SANTANDER,3.0,0.0
ATLETICO MADRID,DEPORTIVO LA CORUNA,3.0,1.0
MALAGA,BARCELONA,0.0,0.0
REAL SOCIEDAD,CELTA VIGO,1.0,0.0
BARCELONA,VALENCIA,2.0,4.0
SEVILLA,MALAGA,0.0,0.0
VILLARREAL,ESPANYOL,0.0,0.0
DEPORTIVO LA CORUNA,ATHLETIC BILBAO,2.0,1.0
RACING SANTANDER,BETIS,0.0,1.0
ALAVES,OSASUNA,1.0,1.0
MALLORCA,RECREATIVO HUELVA,1.0,1.0
RAYO VALLECANO,VALLADOLID,0.0,1.0
REAL MADRID,ATLETICO MADRID,2.0,2.0
ATLETICO MADRID,REAL SOCIEDAD,1.0,2.0
ESPANYOL,DEPORTIVO LA CORUNA,3.0,1.0
BETIS,VILLARREAL,2.0,1.0
OSASUNA,RACING SANTANDER,3.0,1.0
VALLADOLID,ALAVES,1.0,3.0
VALENCIA,SEVILLA,1.0,0.0
RECREATIVO HUELVA,RAYO VALLECANO,2.0,1.0
MALAGA,MALLORCA,1.0,0.0
ATHLETIC BILBAO,REAL MADRID,1.0,1.0
CELTA VIGO,BARCELONA,2.0,0.0
ATLETICO MADRID,BARCELONA,3.0,0.0
BETIS,DEPORTIVO LA CORUNA,0.0,2.0
VALENCIA,MALLORCA,1.0,0.0
VALLADOLID,RACING SANTANDER,2.0,1.0
CELTA VIGO,SEVILLA,0.0,1.0
OSASUNA,VILLARREAL,0.0,1.0
ALAVES,RAYO VALLECANO,1.0,1.0
MALAGA,RECREATIVO HUELVA,4.0,0.0
ESPANYOL,REAL MADRID,2.0,2.0
ATHLETIC BILBAO,REAL SOCIEDAD,3.0,0.0
VILLARREAL,VALLADOLID,1.0,0.0
REAL MADRID,BETIS,4.0,1.0
DEPORTIVO LA CORUNA,OSASUNA,1.0,1.0
RACING SANTANDER,ALAVES,2.0,0.0
MALLORCA,CELTA VIGO,0.0,2.0
RAYO VALLECANO,MALAGA,2.0,1.0
REAL SOCIEDAD,ESPANYOL,0.0,0.0
RECREATIVO HUELVA,VALENCIA,1.0,1.0
SEVILLA,ATLETICO MADRID,1.0,1.0
BARCELONA,ATHLETIC BILBAO,2.0,2.0
ESPANYOL,BARCELONA,0.0,2.0
VALENCIA,MALAGA,2.0,0.0
VALLADOLID,DEPORTIVO LA CORUNA,0.0,1.0
ALAVES,VILLARREAL,1.0,0.0
ATHLETIC BILBAO,SEVILLA,2.0,0.0
RACING SANTANDER,RAYO VALLECANO,2.0,0.0
CELTA VIGO,RECREATIVO HUELVA,4.0,1.0
OSASUNA,REAL MADRID,1.0,0.0
ATLETICO MADRID,MALLORCA,2.0,1.0
BETIS,REAL SOCIEDAD,3.0,2.0
REAL MADRID,VALLADOLID,3.0,1.0
DEPORTIVO LA CORUNA,ALAVES,6.0,0.0
BARCELONA,BETIS,4.0,0.0
VILLARREAL,RACING SANTANDER,0.0,3.0
SEVILLA,ESPANYOL,1.0,0.0
MALLORCA,ATHLETIC BILBAO,1.0,1.0
RECREATIVO HUELVA,ATLETICO MADRID,3.0,0.0
REAL SOCIEDAD,OSASUNA,2.0,0.0
MALAGA,CELTA VIGO,1.0,1.0
RAYO VALLECANO,VALENCIA,0.0,4.0
ESPANYOL,MALLORCA,2.0,0.0
ATHLETIC BILBAO,RECREATIVO HUELVA,2.0,3.0
ALAVES,REAL MADRID,1.0,5.0
CELTA VIGO,VALENCIA,1.0,1.0
VILLARREAL,RAYO VALLECANO,2.0,1.0
RACING SANTANDER,DEPORTIVO LA CORUNA,1.0,2.0
VALLADOLID,REAL SOCIEDAD,3.0,0.0
OSASUNA,BARCELONA,2.0,2.0
ATLETICO MADRID,MALAGA,2.0,1.0
BETIS,SEVILLA,0.0,1.0
REAL MADRID,RACING SANTANDER,4.0,1.0
DEPORTIVO LA CORUNA,VILLARREAL,2.0,1.0
BARCELONA,VALLADOLID,1.0,1.0
VALENCIA,ATLETICO MADRID,0.0,1.0
MALAGA,ATHLETIC BILBAO,3.0,0.0
RECREATIVO HUELVA,ESPANYOL,0.0,0.0
SEVILLA,OSASUNA,2.0,0.0
RAYO VALLECANO,CELTA VIGO,1.0,0.0
MALLORCA,BETIS,2.0,1.0
REAL SOCIEDAD,ALAVES,3.0,1.0
VILLARREAL,REAL MADRID,0.0,1.0
DEPORTIVO LA CORUNA,RAYO VALLECANO,2.0,0.0
RACING SANTANDER,REAL SOCIEDAD,1.0,2.0
VALLADOLID,SEVILLA,0.0,0.0
ATLETICO MADRID,CELTA VIGO,0.0,1.0
BETIS,RECREATIVO HUELVA,1.0,1.0
ESPANYOL,MALAGA,2.0,1.0
OSASUNA,MALLORCA,0.0,0.0
ALAVES,BARCELONA,0.0,0.0
ATHLETIC BILBAO,VALENCIA,1.0,0.0
RAYO VALLECANO,ATLETICO MADRID,0.0,0.0
RECREATIVO HUELVA,OSASUNA,1.0,1.0
MALLORCA,VALLADOLID,2.0,1.0
CELTA VIGO,ATHLETIC BILBAO,2.0,1.0
VALENCIA,ESPANYOL,1.0,1.0
MALAGA,BETIS,0.0,0.0
SEVILLA,ALAVES,3.0,2.0
REAL SOCIEDAD,VILLARREAL,2.0,2.0
BARCELONA,RACING SANTANDER,6.0,1.0
REAL MADRID,DEPORTIVO LA CORUNA,2.0,0.0
REAL MADRID,RAYO VALLECANO,3.0,1.0
VILLARREAL,BARCELONA,2.0,0.0
BETIS,VALENCIA,2.0,0.0
ESPANYOL,CELTA VIGO,0.0,0.0
ALAVES,MALLORCA,0.0,0.0
RACING SANTANDER,SEVILLA,1.0,0.0
VALLADOLID,RECREATIVO HUELVA,0.0,1.0
ATHLETIC BILBAO,ATLETICO MADRID,1.0,0.0
OSASUNA,MALAGA,0.0,1.0
DEPORTIVO LA CORUNA,REAL SOCIEDAD,2.0,1.0
SEVILLA,VILLARREAL,3.0,1.0
BARCELONA,DEPORTIVO LA CORUNA,2.0,4.0
RECREATIVO HUELVA,ALAVES,1.0,0.0
ATLETICO MADRID,ESPANYOL,3.0,3.0
MALLORCA,RACING SANTANDER,3.0,3.0
RAYO VALLECANO,ATHLETIC BILBAO,1.0,1.0
CELTA VIGO,BETIS,1.0,0.0
MALAGA,VALLADOLID,1.0,0.0
REAL SOCIEDAD,REAL MADRID,4.0,2.0
VALENCIA,OSASUNA,1.0,0.0
